#,Year,Title,Authors,Journal,Journal data,DOI
12,2024,Phototrophic Fe(II) oxidation by Rhodopseudomonas palustris TIE‐1 in organic and Fe(II)‐rich conditions,"Verena Nikeleit, Markus Maisch, James M. Byrne, Caroline Harwood, Andreas Kappler, Casey Bryce",Environmental Microbiology,,https://doi.org/10.1111/1462-2920.16608
13,2024,Magnetite nanoparticles are metastable biogeobatteries in consecutive redox cycles driven by microbial Fe oxidation and reduction,"T. Bayer, N. Jakus, A. Kappler, J. M. Byrne",Geo-Bio Interfaces,,https://doi.org/10.1180/gbi.2024.2
14,2023,Cu(II) and Cd(II) Removal Efficiency of Microbially Redox-Activated Magnetite Nanoparticles,"Timm Bayer, Ran Wei, Andreas Kappler, James M. Byrne",ACS Earth and Space Chemistry,,https://doi.org/10.1021/acsearthspacechem.2c00394
15,2023,Continuous cultivation of the lithoautotrophic nitrate‐reducing Fe(II)‐oxidizing culture KS in a chemostat bioreactor,"Timm Bayer, Elizabeth J. Tomaszewski, Casey Bryce, Andreas Kappler, James M. Byrne",Environmental Microbiology Reports,,https://doi.org/10.1111/1758-2229.13149
16,2023,Iron reduction as a viable metabolic pathway in Enceladus' ocean,"Matthew Roche, Mark G Fox-Powell, Rachael E Hamp, James M Byrne",International Journal of Astrobiology,,https://doi.org/10.1017/S1473550423000125
17,2023,Carbon oxidation with sacrificial anodes to inhibit O2 evolution in membrane-less bioelectrochemical systems for microbial electrosynthesis,"Nils Rohbohm, Tianran Sun, Ramiro Blasco-Gómez, James M. Byrne, Andreas Kappler, Largus T. Angenent",EES Catalysis,,https://doi.org/10.1039/D3EY00141E
18,2023,Biomagnetism: Insights Into Magnetic Minerals Produced by Microorganisms,"James M. Byrne, Matthieu Amor",Elements,,https://doi.org/10.2138/gselements.19.4.208
19,2022,A revised analysis of ferrihydrite at liquid helium temperature using Mössbauer spectroscopy,"James M. Byrne, Andreas Kappler",American Mineralogist,,https://doi.org/10.2138/am-2021-7802
20,2022,Microbial Fe cycling in a simulated Precambrian ocean environment: Implications for secondary mineral (trans)formation and deposition during BIF genesis,"Manuel Schad, James M. Byrne, Laurel K. ThomasArrigo, Ruben Kretzschmar, Kurt O. Konhauser, Andreas Kappler",Geochimica et Cosmochimica Acta,,https://doi.org/10.1016/j.gca.2022.05.016
21,2022,The role of iron-bearing minerals for the deep weathering of a hydrothermally altered plutonic rock in semi-arid climate (Chilean Coastal Cordillera),"Ferdinand J. Hampl, Ferry Schiperski, James M. Byrne, Christopher Schwerdhelm, Andreas Kappler, Casey Bryce, Friedhelm von Blanckenburg, Thomas Neumann",Chemical Geology,,https://doi.org/10.1016/j.chemgeo.2022.120922
